CIP_SHORT|CIP_CODE|CIPTitle|Description|CrossReferences|PERKINS|PERKINS_PROGRAM|Groups
14|1427|Systems Engineering.|Instructional content is defined in code 14.2701.|NULL|NULL|NULL|STEM
14|142701|Systems Engineering.|A program that prepares individuals to apply mathematical and scientific principles to the design, development and operational evaluation of total systems solutions to a wide variety of engineering problems, including the integration of human, physical, e|11.0501 - Computer Systems Analysis/Analyst., 30.0601 - Systems Science and Theory.|NULL|NULL|STEM
14|1428|Textile Sciences and Engineering.|Instructional content is defined in code 14.2801.|NULL|NULL|NULL|STEM
14|142801|Textile Sciences and Engineering.|A program that prepares individuals to apply mathematical and scientific principles to the design, development and operational evaluation of systems to test and manufacture fibers and fiber products, both synthetic and natural; to develop new and improved|19.0904 - Textile Science.|NULL|NULL|STEM
14|1431|Materials Science.|Moved from 14.31 to 40.10|NULL|NULL|NULL|STEM
14|143101|Materials Science.|Moved from 14.3101 to 40.1001|NULL|NULL|NULL|STEM
14|1432|Polymer/Plastics Engineering.|Instructional content is defined in code 14.3201.|NULL|NULL|NULL|STEM
14|143201|Polymer/Plastics Engineering.|A program that prepares individuals to apply mathematical and scientific principles to the design, development and operational evaluation of synthesized macromolecular compounds and their application to specific engineering uses, including the development|40.0507 - Polymer Chemistry.|NULL|NULL|STEM
14|1433|Construction Engineering.|Instructional content is defined in code 14.3301.|NULL|NULL|NULL|STEM
14|143301|Construction Engineering.|A program that prepares individuals to apply scientific, mathematical, and management principles to the planning, design, and building of facilities and structures.  Includes instruction in civil engineering, structural principles, site analysis, computer|NULL|NULL|NULL|STEM
14|1434|Forest Engineering.|Instructional content is defined in code 14.3401.|NULL|NULL|NULL|STEM
14|143401|Forest Engineering.|A program that prepares individuals to apply scientific, mathematical, and forestry principles to the design of mechanical devices and processes for efficient forest management, timber production and related forest logistics systems.  Includes instruction|03.0501 - Forestry, General.|NULL|NULL|STEM
14|1435|Industrial Engineering.|Instructional content is defined in code 14.3501.|NULL|NULL|NULL|STEM
14|143501|Industrial Engineering.|A program that prepares individuals to apply scientific and mathematical principles to the design, improvement, and installation of integrated systems of people, material, information, and energy.  Includes instruction in applied mathematics, physical sci|NULL|Y|ENGINEERING|STEM
14|1436|Manufacturing Engineering.|Instructional content is defined in code 14.3601.|NULL|NULL|NULL|STEM
14|143601|Manufacturing Engineering.|A program that prepares individuals to apply scientific and mathematical principles to the design, development, and implementation of manufacturing systems.  Includes instruction in materials science and engineering, manufacturing processes, process engin|NULL|Y|ENGINEERING|STEM
14|1437|Operations Research.|Instructional content is defined in code 14.3701.|NULL|NULL|NULL|STEM
14|143701|Operations Research.|A program that focuses on the development and application of complex mathematical or simulation models to solve problems involving operational systems, where the system concerned is subject to human intervention.  Includes instruction in advanced multivar|NULL|NULL|NULL|STEM
14|1438|Surveying Engineering.|Instructional content is defined in code 14.3801.|NULL|NULL|NULL|STEM
14|143801|Surveying Engineering.|A program that prepares individuals to apply scientific and mathematical principles to the determination of the location, elevations, and alignment of natural and manmade topographic features.  Includes instruction in property line location, surveying, su|NULL|NULL|NULL|STEM
14|1439|Geological/Geophysical Engineering.|Instructional content is defined in code 14.3901.|NULL|NULL|NULL|STEM
14|143901|Geological/Geophysical Engineering.|A program that prepares individuals to apply mathematical and geological principles to the analysis and evaluation of engineering problems, including the geological evaluation of construction sites, the analysis of geological forces acting on structures a|40.0601 - Geology/Earth Science, General.|NULL|NULL|STEM
14|1440|Paper Science and Engineering.|Instructional content is defined in code 14.4001.|NULL|NULL|NULL|STEM
14|144001|Paper Science and Engineering.|A program that prepares individuals to apply mathematical and scientific principles to the design, development, and manufacturing of pulp and paper products. Includes instruction in pulp and paper science, pulping and bleaching processes, paper structure |03.0509 - Wood Science and Wood Products/Pulp and Paper Technology.|NULL|NULL|STEM
14|1441|Electromechanical Engineering.|Instructional content is defined in code 14.4101.|NULL|NULL|NULL|STEM
14|144101|Electromechanical Engineering.|A program that prepares individuals to apply scientific and mathematical principles to the problems associated with combining electrical and mechanical components with special emphasis on manufacturing and automated processes. Includes instruction in appl|NULL|NULL|NULL|STEM
14|1442|Mechatronics, Robotics, and Automation Engineering.|Instructional content is defined in code 14.4201.|NULL|NULL|NULL|STEM
14|144201|Mechatronics, Robotics, and Automation Engineering.|A program that prepares individuals to apply mathematical and scientific principles to the design, development and operational evaluation of computer controlled electro-mechanical systems and products with embedded electronics, sensors, and actuators; and|11.0102 - Artificial Intelligence.|Y|NULL|STEM
14|1443|Biochemical Engineering.|Instructional content is defined in code 14.4301.|NULL|NULL|NULL|STEM
14|144301|Biochemical Engineering.|A program that prepares individuals to apply mathematical and scientific principles to the study of biochemical processes in living organisms, properties of biological materials, and processes using biochemical agents such as cells, enzymes, and antibodie|NULL|NULL|NULL|STEM
14|1444|Engineering Chemistry.|Instructional content is defined in code 14.4401.|NULL|NULL|NULL|STEM
14|144401|Engineering Chemistry.|A program that focuses on the general application of chemical principles to the analysis and evaluation of engineering problems, such as development of electronic materials, solid-state science and technology, polymers, ceramics, and biomaterials. Include|NULL|NULL|NULL|STEM
14|1445|Biological/Biosystems Engineering.|Instructional content is defined in code 14.4501.|NULL|NULL|NULL|STEM
14|144501|Biological/Biosystems Engineering.|A program that prepares individuals to apply mathematical and scientific principles to the design, development and management of biological systems; and includes applications to biology, biochemistry, ecology, and microbiology. Includes instruction in org|NULL|NULL|NULL|STEM
14|1499|Engineering, Other.|Instructional content is defined in code 14.9999.|NULL|NULL|NULL|STEM
14|149999|Engineering, Other.|Any instructional program in engineering not listed above.|NULL|Y|NULL|STEM
15|15|ENGINEERING TECHNOLOGIES AND ENGINEERING-RELATED FIELDS.|Instructional programs that prepare individuals to apply basic engineering principles and technical skills in support of engineering and related projects or to prepare for engineering-related fields.|NULL|NULL|NULL|STEM
15|1500|Engineering Technology, General.|Instructional content is defined in code 15.0000.|NULL|NULL|NULL|STEM
15|150000|Engineering Technology, General.|A program that generally prepares  individuals to apply basic engineering principles and technical skills in support of engineers engaged in a wide variety of projects.  Includes instruction in various engineering support functions for research, productio|NULL|NULL|NULL|STEM
15|1501|Architectural Engineering Technologies/Technicians.|Instructional content is defined in code 15.0101.|NULL|NULL|NULL|STEM
15|150101|Architectural Engineering Technology/Technician.|A program that prepares individuals to apply basic engineering principles and technical skills in support of architects, engineers and planners engaged in designing and developing buildings, urban complexes, and related systems.  Includes instruction in d|NULL|NULL|NULL|STEM
15|1502|Civil Engineering Technologies/Technicians.|Instructional content is defined in code 15.0201.|NULL|NULL|NULL|STEM
15|150201|Civil Engineering Technology/Technician.|A program that prepares individuals to apply basic engineering principles and technical skills in support of civil engineers engaged in designing and executing public works projects such as highways, dams, bridges, tunnels and other facilities.  Includes |NULL|NULL|NULL|STEM
15|1503|Electrical Engineering Technologies/Technicians.|Instructional content for this group of programs is defined in codes 15.0303 - 15.0399.|NULL|NULL|NULL|STEM
15|150303|Electrical, Electronic and Communications Engineering Technology/Technician.|A program that prepares individuals to apply basic engineering principles and technical skills in support of electrical, electronics and communication engineers.  Includes instruction in electrical circuitry, prototype development and testing, systems ana|46.0302 - Electrician.|Y|ENGINEERING TECHNOLOGIES/TECHNICIANS|STEM
15|150304|Laser and Optical Technology/Technician.|A program that prepares individuals to apply basic engineering principles and technical skills in support of engineers and other professionals engaged in developing and using lasers and other optical for commercial or research purposes.  Includes instruct|NULL|NULL|NULL|STEM
15|150305|Telecommunications Technology/Technician.|A program that prepares individuals to apply basic engineering principles and technical skills to help design and implement telecommunications systems.  Includes instruction in communications protocol, data networking, digital compression algorithms, digi|NULL|Y|ENGINEERING TECHNOLOGIES/TECHNICIANS|STEM
15|150306|Integrated Circuit Design.|A program that prepares individuals to apply basic engineering principles and technical skills to design circuits in microelectronics. Includes instruction in circuit design, circuit layout, circuit analysis, computer-aided drafting, and semi-conductor te|NULL|NULL|NULL|STEM
15|150399|Electrical and Electronic Engineering Technologies/Technicians, Other.|Any instructional program in electrical and electronic engineering-related technologies not listed above.|NULL|Y|NULL|STEM
15|1504|Electromechanical Instrumentation and Maintenance Technologies/Technicians.|Instructional content for this group of programs is defined in codes 15.0401 - 15.0499.|NULL|NULL|NULL|STEM
15|150401|Biomedical Technology/Technician.|A program that prepares individuals to apply basic engineering principles and technical skills in support of engineers engaged in developing biological or medical systems and products.  Includes instruction in instrument calibration, design and installati|NULL|Y|NULL|STEM
15|150403|Electromechanical Technology/Electromechanical Engineering Technology.|A program that prepares individuals to apply basic engineering principles and technical skills in support of engineers engaged in developing and testing automated, servomechanical, and other electromechanical systems.  Includes instruction in prototype te|NULL|NULL|NULL|STEM
15|150404|Instrumentation Technology/Technician.|A program that prepares individuals to apply basic engineering principles and technical skills in support of engineers engaged in developing control and measurement systems and procedures.  Includes instruction in instrumentation design and maintenance, c|NULL|Y|ENGINEERING TECHNOLOGIES/TECHNICIANS|STEM
15|150405|Robotics Technology/Technician.|A program that prepares individuals to apply basic engineering principles and technical skills in support of engineers and other professionals engaged in developing and using robots.  Includes instruction in the principles of robotics, design and operatio|NULL|Y|ENGINEERING TECHNOLOGIES/TECHNICIANS|STEM
15|150406|Automation Engineer Technology/Technician.|A program that prepares individuals to apply basic engineering principles and technical skills in support of engineers and other professionals engaged in developing, installing, calibrating, modifying and maintaining automated systems. Includes instructio|NULL|NULL|NULL|STEM
15|150499|Electromechanical and Instrumentation and Maintenance Technologies/Technicians, Other.|Any instructional program in electromechanical instrumentation and maintenance technologies not listed above.|NULL|NULL|NULL|STEM
15|1505|Environmental Control Technologies/Technicians.|Instructional content for this group of programs is defined in codes 15.0501 - 15.0599.|NULL|NULL|NULL|STEM
15|150501|Heating, Ventilation, Air Conditioning and Refrigeration Engineering Technology/Technician.|A program that prepares individuals to apply basic engineering principles and technical skills in support of engineers and other professionals engaged in developing and using air conditioning, refrigeration, ventilation, and heating systems. Includes inst|47.0201 - Heating, Air Conditioning, Ventilation and Refrigeration Maintenance Technology/Technician.|NULL|NULL|STEM
15|150503|Energy Management and Systems Technology/Technician.|A program that prepares individuals to apply basic engineering principles and technical skills in support of engineers and other professionals engaged in developing energy-efficient systems or monitoring energy use.  Includes instruction in principles of |NULL|Y|NULL|STEM
15|150505|Solar Energy Technology/Technician.|A program that prepares individuals to apply basic engineering principles and technical skills in support of engineers and other professionals engaged in developing solar-powered energy systems.  Includes instruction in solar energy principles, energy sto|NULL|Y|NULL|STEM
15|150506|Water Quality and Wastewater Treatment Management and Recycling Technology/Technician.|A program that prepares individuals to apply basic engineering principles and technical skills in support of engineers and other professionals engaged in developing and using water storage, waterpower, and wastewater treatment systems.  Includes instructi|NULL|Y|ENGINEERING TECHNOLOGIES/TECHNICIANS|STEM
15|150507|Environmental Engineering Technology/Environmental Technology.|A program that prepares individuals to apply basic engineering principles and technical skills in support of engineers and other professionals engaged in developing and using indoor and outdoor environmental pollution control systems.  Includes instructio|NULL|Y|ENGINEERING TECHNOLOGIES/TECHNICIANS|STEM
15|150508|Hazardous Materials Management and Waste Technology/Technician.|A program that prepares individuals to apply basic engineering principles and technical skills in support of engineers and other professionals engaged in identifying and disposing of hazardous materials.  Includes instruction in environmental safety princ|NULL|NULL|NULL|STEM
15|150599|Environmental Control Technologies/Technicians, Other.|Any instructional program in environmental control technologies not listed above.|NULL|Y|ENGINEERING TECHNOLOGIES/TECHNICIANS|STEM
15|1506|Industrial Production Technologies/Technicians.|Instructional content for this group of programs is defined in codes 15.0607 - 15.0699.|NULL|NULL|NULL|STEM
15|150607|Plastics and Polymer Engineering Technology/Technician.|A program that prepares individuals to apply basic engineering principles and technical skills in support of engineers and other professionals engaged in developing and using industrial polymers.  Includes instruction in the principles of macromolecular c|NULL|NULL|NULL|STEM
15|150611|Metallurgical Technology/Technician.|A program that prepares individuals to apply basic engineering principles and technical skills in support of engineers and metallurgists engaged in developing and using industrial metals and manufacturing processes.  Includes instruction in principles of |NULL|NULL|NULL|STEM
15|150612|Industrial Technology/Technician.|A program that prepares individuals to apply basic engineering principles and technical skills in support of industrial engineers and managers.  Includes instruction in optimization theory, human factors, organizational behavior, industrial processes, ind|NULL|Y|ENGINEERING TECHNOLOGIES/TECHNICIANS|STEM
15|150613|Manufacturing Engineering Technology/Technician.|A program that prepares individuals to apply basic engineering principles and technical skills to the identification and resolution of production problems in the manufacture of products.  Includes instruction in machine operations, production line operati|NULL|Y|ENGINEERING TECHNOLOGIES/TECHNICIANS|STEM
15|150614|Welding Engineering Technology/Technician.|A program that prepares individuals to apply basic engineering principles and technical skills to the design and engineering of welding and joining systems and the implementation of welding processes.  Includes instruction in materials science; computer-a|48.0508 - Welding Technology/Welder.|NULL|NULL|STEM
15|150615|Chemical Engineering Technology/Technician.|A program that prepares individuals to apply basic engineering principles and technical skills in support of engineers and other professionals engaged in the production and utilization of chemicals on an industrial scale. Includes instruction in organic c|NULL|NULL|NULL|STEM
15|150616|Semiconductor Manufacturing Technology.|A program that prepares individuals to apply basic engineering principles and technical skills to operate and monitor equipment for the fabrication of semiconductors or microchips from silicon wafers, and to troubleshoot, maintain, and repair the speciali|NULL|NULL|NULL|STEM
15|150699|Industrial Production Technologies/Technicians, Other.|Any instructional program in industrial production technologies not listed above.|NULL|Y|NULL|STEM
15|1507|Quality Control and Safety Technologies/Technicians.|Instructional content for this group of programs is defined in codes 15.0701 - 15.0799.|NULL|NULL|NULL|STEM
15|150701|Occupational Safety and Health Technology/Technician.|A program that prepares individuals to apply basic engineering principles and technical skills in support of engineers and other professionals engaged in maintaining job-related health and safety standards.  Includes instruction in safety engineering prin|NULL|Y|ENGINEERING TECHNOLOGIES/TECHNICIANS|STEM
15|150702|Quality Control Technology/Technician.|A program that prepares individuals to apply basic engineering principles and technical skills in support of engineers and other professionals engaged in maintaining consistent manufacturing and construction standards.  Includes instruction in quality con|NULL|NULL|NULL|STEM
15|150703|Industrial Safety Technology/Technician.|A program that prepares individuals to apply basic engineering principles and technical skills to assist engineers and other professionals in implementing and enforcing industrial safety standards.  Includes instruction in industrial processes, industrial|NULL|NULL|NULL|STEM
15|150704|Hazardous Materials Information Systems Technology/Technician.|A program that prepares individuals to apply basic engineering principles and technical skills to assist engineers and other professionals in implementing, monitoring, and enforcing hazardous materials management and removal.  Includes instruction in envi|NULL|NULL|NULL|STEM
15|150799|Quality Control and Safety Technologies/Technicians, Other.|Any instructional program in quality control and safety technologies not listed above.|NULL|NULL|NULL|STEM
15|1508|Mechanical Engineering Related Technologies/Technicians.|Instructional content for this group of programs is defined in codes 15.0801 - 15.0899.|NULL|NULL|NULL|STEM
15|150801|Aeronautical/Aerospace Engineering Technology/Technician.|A program that prepares individuals to apply basic engineering principles and technical skills in support of engineers and other professionals engaged in developing, manufacturing and testing aircraft, spacecraft and their systems.  Includes instruction i|47.0609 - Avionics Maintenance Technology/Technician.|NULL|NULL|STEM
15|150803|Automotive Engineering Technology/Technician.|A program that prepares individuals to apply basic engineering principles and technical skills in support of engineers and other professionals engaged in developing, manufacturing and testing self-propelled ground vehicles and their systems.  Includes ins|47.0604 - Automobile/Automotive Mechanics Technology/Technician.|NULL|NULL|STEM
15|150805|Mechanical Engineering/Mechanical Technology/Technician.|A program that prepares individuals to apply basic engineering principles and technical skills in support of engineers engaged in the design and development phases of a wide variety of projects involving mechanical systems.  Includes instruction in princi|NULL|Y|ENGINEERING TECHNOLOGIES/TECHNICIANS|STEM
15|150899|Mechanical Engineering Related Technologies/Technicians, Other.|Any instructional program in mechanical engineering-related technologies not listed above.|NULL|NULL|NULL|STEM
15|1509|Mining and Petroleum Technologies/Technicians.|Instructional content for this group of programs is defined in codes 15.0901 - 15.0999.|NULL|NULL|NULL|STEM
15|150901|Mining Technology/Technician.|A program that prepares individuals to apply basic engineering principles and technical skills in support of engineers and other professionals engaged in the development and operation of mines and related mineral processing facilities.  Includes instructi|NULL|Y|ENGINEERING TECHNOLOGIES/TECHNICIANS|STEM
15|150903|Petroleum Technology/Technician.|A program that prepares individuals to apply basic engineering principles and technical skills in support of engineers and other professionals engaged in the development and operation of oil and natural gas extraction and processing facilities.  Includes |NULL|NULL|NULL|STEM
15|150999|Mining and Petroleum Technologies/Technicians, Other.|Any instructional program in mining and petroleum engineering technologies not listed above.|NULL|NULL|NULL|STEM
15|1510|Construction Engineering Technologies.|Instructional content is defined in code 15.1001.|NULL|NULL|NULL|STEM
15|151001|Construction Engineering Technology/Technician.|A program that prepares individuals to apply basic engineering principles and technical skills in support of engineers, engineering contractors and other professionals engaged in the construction of buildings and related structures.  Includes instruction |NULL|NULL|NULL|STEM
15|1511|Engineering-Related Technologies.|Instructional content for this group of programs is defined in codes 15.1102 - 15.1199.|NULL|NULL|NULL|STEM
15|151102|Surveying Technology/Surveying.|A program that prepares individuals to apply mathematical and scientific principles to the delineation, determination, planning and positioning of land tracts, land and water boundaries, land contours and features; and the preparation of related maps, cha|NULL|Y|ENGINEERING TECHNOLOGIES/TECHNICIANS|STEM
15|151103|Hydraulics and Fluid Power Technology/Technician.|A program that prepares individuals to apply basic engineering principles and technical skills in support of engineers and other professionals engaged in developing and using fluid power and transportation systems.  Includes instruction in fluid mechanics|NULL|NULL|NULL|STEM
15|151199|Engineering-Related Technologies, Other.|Any programs in engineering-related technologies and technicians not listed above.|NULL|NULL|NULL|STEM
15|1512|Computer Engineering Technologies/Technicians.|Instructional content for this group of programs is defined in codes 15.1201 - 15.1299.|NULL|NULL|NULL|STEM
15|151201|Computer Engineering Technology/Technician.|A program that prepares individuals to apply basic engineering principles and technical skills in support of computer engineers engaged in designing and developing computer systems and installations.  Includes instruction in computer electronics and progr|NULL|Y|ENGINEERING TECHNOLOGIES/TECHNICIANS|STEM
15|151202|Computer Technology/Computer Systems Technology.|A program that prepares individuals to apply basic engineering principles and technical skills in support of professionals who use computer systems.  Includes instruction in basic computer design and architecture, programming, problems of specific compute|47.0104 - Computer Installation and Repair Technology/Technician.|Y|ENGINEERING TECHNOLOGIES/TECHNICIANS|STEM
15|151203|Computer Hardware Technology/Technician.|A program that prepares individuals to apply basic engineering principles and technical skills to support engineers in designing computer hardware and peripheral systems.  Includes instruction in computer systems design, computer architecture, computer el|NULL|NULL|NULL|STEM
15|151204|Computer Software Technology/Technician.|A program that prepares individuals to apply basic engineering principles and technical skills to support engineers in developing, implementing, and evaluating computer software and program applications.  Includes instruction in computer programming,  pro|NULL|NULL|NULL|STEM
15|151299|Computer Engineering Technologies/Technicians, Other.|Any instructional program in computer engineering technologies not listed above.|NULL|NULL|NULL|STEM
15|1513|Drafting/Design Engineering Technologies/Technicians.|Instructional content for this group of programs is defined in codes 15.1301 - 15.1399.|NULL|NULL|NULL|STEM
15|151301|Drafting and Design Technology/Technician, General.|A program that prepares individuals to generally apply technical skills to create working drawings and computer simulations for a variety of applications.  Includes instruction in specification interpretation, dimensioning techniques, drafting calculation|NULL|Y|ENGINEERING TECHNOLOGIES/TECHNICIANS|STEM
15|151302|CAD/CADD Drafting and/or Design Technology/Technician.|A program that prepares individuals to apply technical skills and advanced computer software and hardware to the creation of graphic representations and simulations in support of engineering projects.  Includes instruction in engineering graphics, two-dim|NULL|Y|ENGINEERING TECHNOLOGIES/TECHNICIANS|STEM
15|151303|Architectural Drafting and Architectural CAD/CADD.|A program that prepares individuals to apply technical knowledge and skills to develop working drawings and electronic simulations for architectural and related construction projects.  Includes instruction in basic construction and structural design, arch|04.0201 - Architecture., 04.0901 - Architectural Technology/Technician.|Y|ENGINEERING TECHNOLOGIES/TECHNICIANS|STEM
15|151304|Civil Drafting and Civil Engineering CAD/CADD.|A program that prepares individuals to apply technical knowledge and skills to develop working drawing and electronic simulations in support of civil engineers, geological engineers, and related professionals.  Includes instruction in basic civil engineer|NULL|Y|ENGINEERING TECHNOLOGIES/TECHNICIANS|STEM
15|151305|Electrical/Electronics Drafting and Electrical/Electronics CAD/CADD.|A program that prepares individuals to apply technical knowledge and skills to develop working schematics and representations in support of electrical/electronic engineers, computer engineers, and related professionals.  Includes instruction in basic elec|NULL|Y|ENGINEERING TECHNOLOGIES/TECHNICIANS|STEM
15|151306|Mechanical Drafting and Mechanical Drafting CAD/CADD.|A program that prepares individuals to apply technical knowledge and skills to develop working drawings and electronic simulations in support of mechanical and industrial engineers, and related professionals.  Includes instruction in manufacturing materia|NULL|Y|ENGINEERING TECHNOLOGIES/TECHNICIANS|STEM
15|151399|Drafting/Design Engineering Technologies/Technicians, Other.|Any instructional program in drafting/design engineering technologies not listed above.|NULL|Y|ENGINEERING TECHNOLOGIES/TECHNICIANS|STEM
15|1514|Nuclear Engineering Technologies/Technicians.|Instructional content is defined in code 15.1401.|NULL|NULL|NULL|STEM
15|151401|Nuclear Engineering Technology/Technician.|A program that prepares individuals to apply basic engineering, knowledge and technical skills in support of engineer and other professionals operating nuclear facilities and engaged in nuclear applications and safety procedures.  Includes instruction in |NULL|NULL|NULL|STEM
15|1515|Engineering-Related Fields.|Instructional content for this group of programs is defined in codes 15.1501 - 15.1599.|NULL|NULL|NULL|STEM
15|151501|Engineering/Industrial Management.|A program that focuses on the application of engineering principles to the planning and operational management of industrial and manufacturing operations, and prepares individuals to plan and manage such operations.  Includes instruction in accounting, en|NULL|NULL|NULL|STEM
15|151502|Engineering Design.|An instructional program that prepares individuals to apply mathematical and scientific principles to engineering problems involving marrying or coordinating multiple dissimilar systems to carry out single functions or achieve common purposes, organizing |NULL|NULL|NULL|STEM
15|151503|Packaging Science.|A program that focuses on the application of scientific, technological, design, and business principles to the development of packages and packaging materials, including raw material production, conversion of raw materials into usable forms, design, distr|NULL|NULL|NULL|STEM
15|151599|Engineering-Related Fields, Other.|Any instructional program in engineering-related fields not listed above.|NULL|NULL|NULL|STEM
15|1516|Nanotechnology.|Instructional content is defined in code 15.1601.|NULL|NULL|NULL|STEM
15|151601|Nanotechnology.|A program that prepares individuals to apply mathematical, scientific, and engineering principles and technical skills to manipulate matter at the atomic and molecular level (in the range of 1-100 nanometers) and to design, fabricate, and integrate nanosc|NULL|NULL|NULL|STEM
15|1599|Engineering Technologies/Technicians, Other.|Instructional content is defined in code 15.9999.|NULL|NULL|NULL|STEM
15|159999|Engineering Technologies and Engineering-Related Fields, Other.|Any instructional program in engineering technologies and engineering-related fields not listed above.|NULL|NULL|NULL|STEM
16|16|FOREIGN LANGUAGES, LITERATURES, AND LINGUISTICS.|Instructional programs that focus on foreign languages and literatures, the humanistic and scientific study of linguistics, and the provision of professional interpretation and translation services.|NULL|NULL|NULL|Liberal Arts
16|1601|Linguistic, Comparative, and Related Language Studies and Services.|Instructional content for this group of programs is defined in codes 16.0101 - 16.0199.|NULL|NULL|NULL|Liberal Arts
16|160101|Foreign Languages and Literatures, General.|A general program that focuses on one or more modern foreign languages that is not specific as to the name of the language(s) studied; that is otherwise undifferentiated; or that introduces students to language studies at the basic/elementary level.|NULL|NULL|NULL|Liberal Arts
16|160102|Linguistics.|A program that focuses on language, language development, and relationships among languages and language groups from a humanistic and/or scientific perspective.  Includes instruction in subjects such as psycholinguistics, behavioral linguistics, language |16.1602 - Linguistics of ASL and Other Sign Languages.|NULL|NULL|Liberal Arts
16|160103|Language Interpretation and Translation.|A program that prepares individuals to be professional interpreters and/or translators of documents and data files, either from English or (Canadian) French into another language or languages or vice versa.  Includes intensive instruction in one or more f|16.1603 - Sign Language Interpretation and Translation.|NULL|NULL|Liberal Arts
16|160104|Comparative Literature.|A program that focuses on two or more literary traditions in the original languages or in translation.  Includes instruction in comparative linguistics; applicable foreign languages; English/French language and literature; literary criticism; and applicat|23.1401 - General Literature.|NULL|NULL|Liberal Arts
16|160105|Applied Linguistics.|A program that focuses on language-related concerns in the everyday world, including language education, acquisition of first and additional languages, discourse analysis, language assessment, literacy, and language policy and planning.  Includes instruct|NULL|NULL|NULL|Liberal Arts
16|160199|Linguistic, Comparative, and Related Language Studies and Services, Other.|Any instructional program in linguistic, comparative, and related language studies and services not listed above.|NULL|NULL|NULL|Liberal Arts
16|1602|African Languages, Literatures, and Linguistics.|Instructional content is defined in code 16.0201.|NULL|NULL|NULL|Liberal Arts
16|160201|African Languages, Literatures, and Linguistics.|A program that focuses on one or more of the languages native to the African continent, including, but not limited to, Bantu languages, Nilo-Saharan languages, Niger-Congo languages, Khoisan languages, and the Chadic and Ethiopic languages of the Hamito-S|NULL|NULL|NULL|Liberal Arts
16|1603|East Asian Languages, Literatures, and Linguistics.|Instructional content for this group of programs is defined in codes 16.0300 - 16.0399.|NULL|NULL|NULL|Liberal Arts
16|160300|East Asian Languages, Literatures, and Linguistics, General.|A general program that focuses on one or more of the languages of East Asia, including, but not limited to, the Sino-Tibetan, Japanese, and Korean languages. Includes instruction in philology; linguistics; dialects and pidgins; literature; and application|NULL|NULL|NULL|Liberal Arts
16|160301|Chinese Language and Literature.|A program that focuses on the languages of China and associated dialects and literature. Includes instruction in philology; linguistics; dialects and pidgins; and applications to business, science/technology, and other settings.|NULL|NULL|NULL|Liberal Arts
16|160302|Japanese Language and Literature.|A program that focuses on the Japanese language. Includes instruction in philology; Ancient, Medieval, and Modern Japanese; dialects; and applications to business, science/technology, and other settings.|NULL|NULL|NULL|Liberal Arts
16|160303|Korean Language and Literature.|A program that focuses on the Korean language. Includes instruction in philology; dialects; and applications to business, science/technology, and other settings.|NULL|NULL|NULL|Liberal Arts
16|160304|Tibetan Language and Literature.|A program that focuses on the Tibetan language. Includes instruction in philology; secular and religious Tibetan; dialects; and applications to business, science/technology, Buddhist studies, and other settings.|NULL|NULL|NULL|Liberal Arts
16|160399|East Asian Languages, Literatures, and Linguistics, Other.|Any instructional program in East Asian languages, literatures, and linguistics not listed above.|NULL|NULL|NULL|Liberal Arts
16|1604|Slavic, Baltic and Albanian Languages, Literatures, and Linguistics.|Instructional content for this group of programs is defined in codes 16.0400 - 16.0499.|NULL|NULL|NULL|Liberal Arts
16|160400|Slavic Languages, Literatures, and Linguistics, General.|A general program that focuses on one or more of the Slavic languages of Central and Eastern Europe.  Includes instruction in philology; linguistics; dialects and pidgins; literature; and applications to business, science/technology, and other settings.|NULL|NULL|NULL|Liberal Arts
16|160401|Baltic Languages, Literatures, and Linguistics.|A program that focuses on the languages of the Baltic peoples, including, but not limited to, the modern languages of Latvian and Lithuanian, and extinct languages such as Old Prussian and Curionian. Includes instruction in philology; literature; and appl|NULL|NULL|NULL|Liberal Arts
16|160402|Russian Language and Literature.|A program that focuses on the Russian language. Includes instruction in philology; dialects; literature; and applications to business, science/technology, and other settings.|NULL|NULL|NULL|Liberal Arts
16|160404|Albanian Language and Literature.|A program that focuses on the Albanian language. Includes instruction in Albanian/Illyrian philology; Ghegg and Tosk dialects; and applications to business, science/technology, and other settings.|NULL|NULL|NULL|Liberal Arts
16|160405|Bulgarian Language and Literature.|A program that focuses on the Bulgarian language.  Includes instruction in philology; literature; and applications to business, science/technology, and other settings.|NULL|NULL|NULL|Liberal Arts
16|160406|Czech Language and Literature.|A program that focuses on the Czech language.  Includes instruction in philology; literature; and applications to business, science/technology, and other settings.|NULL|NULL|NULL|Liberal Arts
16|160407|Polish Language and Literature.|A program that focuses on the Polish language.  Includes instruction in philology; dialects; literature; and applications to business, science/technology, and other settings.|NULL|NULL|NULL|Liberal Arts
16|160408|Bosnian, Serbian, and Croatian Languages and Literatures.|A program that focuses on the Bosnian, Serbian and/or Croatian languages. Includes instruction in philology; dialects; and applications to business, science/technology, and other settings.|NULL|NULL|NULL|Liberal Arts
16|160409|Slovak Language and Literature.|A program that focuses on the Slovak language.  Includes instruction in philology; dialects; literature; and applications to business, science/technology, and other settings.|NULL|NULL|NULL|Liberal Arts
16|160410|Ukrainian Language and Literature.|A program that focuses on the Ukrainian language.  Includes instruction in philology; dialects; literature; and applications to business, science/technology, and other settings.|NULL|NULL|NULL|Liberal Arts
