CIP_Short|CIP_Code|CIPTitle|Description|CrossReferences|Groups|Old_CIP_Code|Created_Date|Modified_Date|Inactive
15|150705|Process Safety Technology/Technician.|A program that prepares individuals to apply basic engineering principles and technical skills in support of engineers engaged in developing methods to mitigate damage, reduce risks, and prevent accidents. Includes instruction in design for injury prevention, engineering for process safety, environmental psychology, function-based risk analysis, fundamentals of industrial engineering, operations research, probability and statistics, risk assessment and reduction, and safety engineering.||NULL|NULL|2020-04-15 14:26:57.863|NULL|N
15|150799|Quality Control and Safety Technologies/Technicians, Other.|Any instructional program in quality control and safety technologies not listed above.||STEM|NULL|2010-01-01 00:00:00.000|NULL|N
15|1508|Mechanical Engineering Related Technologies/Technicians.|Instructional content for this group of programs is defined in codes 15.0801 - 15.0899.||STEM|NULL|2010-01-01 00:00:00.000|NULL|N
15|150801|Aeronautical/Aerospace Engineering Technology/Technician.|A program that prepares individuals to apply basic engineering principles and technical skills in support of engineers and other professionals engaged in developing, manufacturing and testing aircraft, spacecraft and their systems.  Includes instruction in aircraft/spacecraft systems technology, design and development testing, prototype and operational testing, inspection and maintenance procedures, instrument calibration, test equipment operation and maintenance, and report preparation.|47.0609 - Avionics Maintenance Technology/Technician.|STEM|NULL|2010-01-01 00:00:00.000|NULL|N
15|150803|Automotive Engineering Technology/Technician.|A program that prepares individuals to apply basic engineering principles and technical skills in support of engineers and other professionals engaged in developing, manufacturing and testing self-propelled ground vehicles and their systems.  Includes instruction in vehicular systems technology, design and development testing, prototype and operational testing, inspection and maintenance procedures, instrument calibration, test equipment operation and maintenance, and report preparation.|47.0604 - Automobile/Automotive Mechanics Technology/Technician.|STEM|NULL|2010-01-01 00:00:00.000|NULL|N
15|150805|Mechanical/Mechanical Engineering Technology/Technician.|A program that prepares individuals to apply basic engineering principles and technical skills in support of engineers engaged in the design and development phases of a wide variety of projects involving mechanical systems.  Includes instruction in principles of mechanics, applications to specific engineering systems, design testing procedures, prototype and operational testing and inspection procedures, manufacturing system-testing procedures, test equipment operation and maintenance, and report preparation.||STEM|NULL|2010-01-01 00:00:00.000|NULL|N
15|150806|Marine Engineering Technology/Technician.|A program that prepares individuals to apply basic engineering principles and technical skills in support of engineers and other professionals engaged in shipboard mechanical and electrical engineering and the maintenance and operation of marine engines, including gas, diesel, and steam engines. Includes instruction in automation, diesel-powered systems, electrical circuits and systems, engine performance, hydraulics, manufacturing, motor-powered systems, refrigeration and air-conditioning, steam-powered systems, and welding.|48.0704 - Wooden Boatbuilding Technology/Technician.|NULL|NULL|2020-04-15 14:26:57.863|NULL|N
15|150807|Motorsports Engineering Technology/Technician.|A program that prepares individuals to apply basic engineering principles and technical skills in support of engineers and other professionals engaged in the design, construction, and repair of vehicles used in racing and motorsports. Includes instruction in aerodynamics, design, vehicle dynamics, performance engines, fluid mechanics, computer-aided design (CAD), mechanical engineering, and welding.||NULL|NULL|2020-04-15 14:26:57.863|NULL|N
15|150899|Mechanical Engineering Related Technologies/Technicians, Other.|Any instructional program in mechanical engineering-related technologies not listed above.||STEM|NULL|2010-01-01 00:00:00.000|NULL|N
15|1509|Mining and Petroleum Technologies/Technicians.|Instructional content for this group of programs is defined in codes 15.0901 - 15.0999.||STEM|NULL|2010-01-01 00:00:00.000|NULL|N
15|150901|Mining Technology/Technician.|A program that prepares individuals to apply basic engineering principles and technical skills in support of engineers and other professionals engaged in the development and operation of mines and related mineral processing facilities.  Includes instruction in principles of mineral extraction and related geology, mineral field mapping and site analysis, testing and sampling methods, instrument calibration, assay analysis, test equipment operation and maintenance, mine environment and safety monitoring procedures, mine inspection procedures, and report preparation.||STEM|NULL|2010-01-01 00:00:00.000|NULL|N
15|150903|Petroleum Technology/Technician.|A program that prepares individuals to apply basic engineering principles and technical skills in support of engineers and other professionals engaged in the development and operation of oil and natural gas extraction and processing facilities.  Includes instruction in principles of petroleum extraction and related geology, petroleum field mapping and site analysis, testing and sampling methods, instrument calibration, laboratory analysis, test equipment operation and maintenance, environment and safety monitoring procedures for oil/gas fields and facilities, facility inspection procedures, and report preparation.||STEM|NULL|2010-01-01 00:00:00.000|NULL|N
15|150999|Mining and Petroleum Technologies/Technicians, Other.|Any instructional program in mining and petroleum engineering technologies not listed above.||STEM|NULL|2010-01-01 00:00:00.000|NULL|N
15|1510|Construction Engineering Technology/Technician.|Instructional content is defined in code 15.1001.||STEM|NULL|2010-01-01 00:00:00.000|NULL|N
15|151001|Construction Engineering Technology/Technician.|A program that prepares individuals to apply basic engineering principles and technical skills in support of engineers, engineering contractors and other professionals engaged in the construction of buildings and related structures.  Includes instruction in basic structural engineering principles and construction techniques, building site inspection, site supervision, construction personnel supervision, plan and specification interpretation, supply logistics and procurement, applicable building codes, and report preparation.||STEM|NULL|2010-01-01 00:00:00.000|NULL|N
15|1511|Engineering-Related Technologies/Technicians.|Instructional content for this group of programs is defined in codes 15.1102 - 15.1199.||STEM|NULL|2010-01-01 00:00:00.000|NULL|N
15|151102|Surveying Technology/Surveying.|A program that prepares individuals to apply mathematical and scientific principles to the delineation, determination, planning and positioning of land tracts, land and water boundaries, land contours and features; and the preparation of related maps, charts and reports.  Includes instruction in applied geodesy, computer graphics, photointerpretation, plane and geodetic surveying, mensuration, traversing, survey equipment operation and maintenance, instrument calibration, and basic cartography.||STEM|NULL|2010-01-01 00:00:00.000|NULL|N
15|151103|Hydraulics and Fluid Power Technology/Technician.|A program that prepares individuals to apply basic engineering principles and technical skills in support of engineers and other professionals engaged in developing and using fluid power and transportation systems.  Includes instruction in fluid mechanics and hydraulics principles, fluid power systems, pipeline and pumping systems, design and operational testing, inspection and maintenance procedures, related instrumentation, and report preparation.||STEM|NULL|2010-01-01 00:00:00.000|NULL|N
15|151199|Engineering-Related Technologies/Technicians, Other.|Any programs in engineering-related technologies and technicians not listed above.||STEM|NULL|2010-01-01 00:00:00.000|NULL|N
15|1512|Computer Engineering Technologies/Technicians.|Instructional content for this group of programs is defined in codes 15.1201 - 15.1299.||STEM|NULL|2010-01-01 00:00:00.000|NULL|N
15|151201|Computer Engineering Technology/Technician.|A program that prepares individuals to apply basic engineering principles and technical skills in support of computer engineers engaged in designing and developing computer systems and installations.  Includes instruction in computer electronics and programming, prototype development and testing, systems installation and testing, solid state and microminiature circuitry, peripheral equipment, and report preparation.||STEM|NULL|2010-01-01 00:00:00.000|NULL|N
15|151202|Computer/Computer Systems Technology/Technician.|A program that prepares individuals to apply basic engineering principles and technical skills in support of professionals who use computer systems.  Includes instruction in basic computer design and architecture, programming, problems of specific computer applications, component and system maintenance and inspection procedures, hardware and software problem diagnosis and repair, and report preparation.|47.0104 - Computer Installation and Repair Technology/Technician.|STEM|NULL|2010-01-01 00:00:00.000|NULL|N
15|151203|Computer Hardware Technology/Technician.|A program that prepares individuals to apply basic engineering principles and technical skills to support engineers in designing computer hardware and peripheral systems.  Includes instruction in computer systems design, computer architecture, computer electronics, processors, peripherals, testing equipment, and computer manufacturing processes.||STEM|NULL|2010-01-01 00:00:00.000|NULL|N
15|151204|Computer Software Technology/Technician.|A program that prepares individuals to apply basic engineering principles and technical skills to support engineers in developing, implementing, and evaluating computer software and program applications.  Includes instruction in computer programming,  programming languages, databases, user interfaces, networking and warehousing, encryption and security, software testing and evaluation, and customization.||STEM|NULL|2010-01-01 00:00:00.000|NULL|N
15|151299|Computer Engineering Technologies/Technicians, Other.|Any instructional program in computer engineering technologies not listed above.||STEM|NULL|2010-01-01 00:00:00.000|NULL|N
15|1513|Drafting/Design Engineering Technologies/Technicians.|Instructional content for this group of programs is defined in codes 15.1301 - 15.1399.||STEM|NULL|2010-01-01 00:00:00.000|NULL|N
15|151301|Drafting and Design Technology/Technician, General.|A program that prepares individuals to generally apply technical skills to create working drawings and computer simulations for a variety of applications.  Includes instruction in specification interpretation, dimensioning techniques, drafting calculations, material estimation, technical communications, computer applications, and interpersonal communications.||STEM|NULL|2010-01-01 00:00:00.000|NULL|N
15|151302|CAD/CADD Drafting and/or Design Technology/Technician.|A program that prepares individuals to apply technical skills and advanced computer software and hardware to the creation of graphic representations and simulations in support of engineering projects.  Includes instruction in engineering graphics, two-dimensional and three-dimensional engineering design, solids modeling, engineering animation, computer-aided drafting (CAD), computer-aided design (CADD), and auto-CAD techniques.||STEM|NULL|2010-01-01 00:00:00.000|NULL|N
15|151303|Architectural Drafting and Architectural CAD/CADD.|A program that prepares individuals to apply technical knowledge and skills to develop working drawings and electronic simulations for architectural and related construction projects.  Includes instruction in basic construction and structural design, architectural rendering, architectural-aided drafting (CAD), layout and designs, architectural blueprint interpretation, building materials, and basic structural wiring diagramming.|04.0901 - Architectural Technology/Technician., 04.0201 - Architecture.|STEM|NULL|2010-01-01 00:00:00.000|NULL|N
15|151304|Civil Drafting and Civil Engineering CAD/CADD.|A program that prepares individuals to apply technical knowledge and skills to develop working drawing and electronic simulations in support of civil engineers, geological engineers, and related professionals.  Includes instruction in basic civil engineering principles, geological and seismographic mapping, machine drafting, computer-aided drafting (CAD), pipe drafting, survey interpretation, and blueprint reading.||STEM|NULL|2010-01-01 00:00:00.000|NULL|N
15|151305|Electrical/Electronics Drafting and Electrical/Electronics CAD/CADD.|A program that prepares individuals to apply technical knowledge and skills to develop working schematics and representations in support of electrical/electronic engineers, computer engineers, and related professionals.  Includes instruction in basic electronics, electrical systems and computer layouts; electrode-mechanical drafting; manufacturing circuitry; computer-aided drafting (CAD); and electrical systems specification interpretation.||STEM|NULL|2010-01-01 00:00:00.000|NULL|N
15|151306|Mechanical Drafting and Mechanical Drafting CAD/CADD.|A program that prepares individuals to apply technical knowledge and skills to develop working drawings and electronic simulations in support of mechanical and industrial engineers, and related professionals.  Includes instruction in manufacturing materials and processes, mechanical drafting, electrode-mechanical drafting, basic metallurgy, geometric dimensioning and tolerancing, blueprint reading, and technical communication.||STEM|NULL|2010-01-01 00:00:00.000|NULL|N
15|151307|3-D Modeling and Design Technology/Technician.|A program that prepares individuals to apply technical knowledge and skills in the use of three-dimensional (3-D) computer technology to create technical illustrations and models used in manufacturing, design, production, and construction. Includes instruction in 3-D computer-aided design (CAD), 3-D printing, 3-D model design and construction, and 3-D scanning.||NULL|NULL|2020-04-15 14:26:57.863|NULL|N
15|151399|Drafting/Design Engineering Technologies/Technicians, Other.|Any instructional program in drafting/design engineering technologies not listed above.||STEM|NULL|2010-01-01 00:00:00.000|NULL|N
15|1514|Nuclear Engineering Technology/Technician.|Instructional content is defined in code 15.1401.||STEM|NULL|2010-01-01 00:00:00.000|NULL|N
15|151401|Nuclear Engineering Technology/Technician.|A program that prepares individuals to apply basic engineering, knowledge and technical skills in support of engineer and other professionals operating nuclear facilities and engaged in nuclear applications and safety procedures.  Includes instruction in physics, nuclear science, nuclear systems, nuclear plant and systems design, radiological safety, radiological applications, and applicable law and regulations.||STEM|NULL|2010-01-01 00:00:00.000|NULL|N
15|1515|Engineering-Related Fields.|Instructional content for this group of programs is defined in codes 15.1501 - 15.1599.||STEM|NULL|2010-01-01 00:00:00.000|NULL|N
15|151501|Engineering/Industrial Management.|A program that focuses on the application of engineering principles to the planning and operational management of industrial and manufacturing operations, and prepares individuals to plan and manage such operations.  Includes instruction in accounting, engineering economy, financial management, industrial and human resources management, industrial psychology, management information systems, mathematical modeling and optimization, quality control, operations research, safety and health issues, and environmental program management.||STEM|NULL|2010-01-01 00:00:00.000|NULL|N
15|151502|Engineering Design.|An instructional program that prepares individuals to apply mathematical and scientific principles to engineering problems involving marrying or coordinating multiple dissimilar systems to carry out single functions or achieve common purposes, organizing system components for maximum flexibility and utility, planning engineering projects involving multiple tasks and design solutions, planning design testing and evaluation procedures, resolving specification and requirement conflicts, and choosing among competing theoretical solutions. Note: this program was re-instated after being deleted from CIP 2000; previously, it was coded as 14.2901.||STEM|NULL|2010-01-01 00:00:00.000|NULL|N
15|151503|Packaging Science.|A program that focuses on the application of scientific, technological, design, and business principles to the development of packages and packaging materials, including raw material production, conversion of raw materials into usable forms, design, distribution, and post-use recycling and reuse. Includes instruction in principles of packaging, materials sciences, distribution and transportation, engineering and technology, graphic design, packaging regulations, and business and marketing.||STEM|NULL|2010-01-01 00:00:00.000|NULL|N
15|151599|Engineering-Related Fields, Other.|Any instructional program in engineering-related fields not listed above.||STEM|NULL|2010-01-01 00:00:00.000|NULL|N
15|1516|Nanotechnology.|Instructional content is defined in code 15.1601.||STEM|NULL|2010-01-01 00:00:00.000|NULL|N
15|151601|Nanotechnology.|A program that prepares individuals to apply mathematical, scientific, and engineering principles and technical skills to manipulate matter at the atomic and molecular level (in the range of 1-100 nanometers) and to design, fabricate, and integrate nanoscale structures, devices, and systems. Includes instruction in materials science, thermodynamics, nanomaterials, nanoelectronics, and nano/micro device fabrication and testing.||STEM|NULL|2010-01-01 00:00:00.000|NULL|N
15|1517|Energy Systems Technologies/Technicians.|Instructional content for this group of programs is defined in codes 15.1701 - 15.1799.||NULL|NULL|2020-04-15 14:26:57.863|NULL|N
15|151701|Energy Systems Technology/Technician.|A program that prepares individuals to apply basic engineering principles and technical skills in support of engineers and other professionals engaged in developing energy-efficient systems or monitoring energy use.  Includes instruction in principles of energy conservation, instrumentation calibration, monitoring systems and test procedures, energy loss inspection procedures, energy conservation techniques, and report preparation.|03.0209 - Energy and Environmental Policy., 03.0210 - Bioenergy., 14.4801 - Energy Systems Engineering, General., 47.0701 - Energy Systems Installation and Repair Technology/Technician.|NULL|150503|2020-04-23 11:36:01.890|NULL|N
15|151702|Power Plant Technology/Technician.|A program that prepares individuals to apply basic engineering principles and technical skills in support of engineers engaged in the operation and maintenance of electricity generating power plants. Includes instruction in basic electricity, electrical power, generator operations, industrial controls, power plant instrumentation, power plant theory, pollution control, reactor theory, thermodynamics, turbines, and water chemistry.|14.4802 - Power Plant Engineering.|NULL|NULL|2020-04-15 14:26:57.863|NULL|N
15|151703|Solar Energy Technology/Technician.|A program that prepares individuals to apply basic engineering principles and technical skills in support of engineers and other professionals engaged in developing solar-powered energy systems.  Includes instruction in solar energy principles, energy storage and transfer technologies, testing and inspection procedures, system maintenance procedures, and report preparation.|47.0703 - Solar Energy System Installation and Repair Technology/Technician.|NULL|150505|2020-04-23 11:36:01.890|NULL|N
15|151704|Wind Energy Technology/Technician.|A program that prepares individuals to apply basic engineering principles and technical skills in support of engineers and other professionals engaged in developing wind-powered energy systems. Includes instruction in wind energy principles, energy storage and transfer technologies, testing and inspection procedures, system maintenance procedures, and report preparation.|47.0704 - Wind Energy System Installation and Repair Technology/Technician.|NULL|NULL|2020-04-15 14:26:57.863|NULL|N
15|151705|Hydroelectric Energy Technology/Technician.|A program that prepares individuals to apply basic engineering principles and technical skills in support of engineers and other professionals engaged in developing hydroelectric energy systems. Includes instruction in hydroelectric energy principles, energy storage and transfer technologies, testing and inspection procedures, system maintenance procedures, and report preparation.|47.0705 - Hydroelectric Energy System Installation and Repair Technology/Technician.|NULL|NULL|2020-04-15 14:26:57.863|NULL|N
15|151706|Geothermal Energy Technology/Technician.|A program that prepares individuals to apply basic engineering principles and technical skills in support of engineers and other professionals engaged in developing geothermal energy systems. Includes instruction in geothermal energy principles, energy storage and transfer technologies, testing and inspection procedures, system maintenance procedures, and report preparation.|47.0706 - Geothermal Energy System Installation and Repair Technology/Technician.|NULL|NULL|2020-04-15 14:26:57.863|NULL|N
15|151799|Energy Systems Technologies/Technicians, Other.|Any instructional program in energy systems technologies not listed above.|47.0799 - Energy Systems Maintenance and Repair Technologies/Technicians, Other.|NULL|NULL|2020-04-15 14:26:57.863|NULL|N
15|1599|Engineering/Engineering-Related Technologies/Technicians, Other.|Instructional content is defined in code 15.9999.||STEM|NULL|2010-01-01 00:00:00.000|NULL|N
15|159999|Engineering/Engineering-Related Technologies/Technicians, Other.|Any instructional program in engineering technologies and engineering-related fields not listed above.||STEM|NULL|2010-01-01 00:00:00.000|NULL|N
16|16|FOREIGN LANGUAGES, LITERATURES, AND LINGUISTICS.|Instructional programs that focus on foreign languages and literatures, the humanistic and scientific study of linguistics, and the provision of professional interpretation and translation services.||Liberal Arts|NULL|2010-01-01 00:00:00.000|NULL|N
16|1601|Linguistic, Comparative, and Related Language Studies and Services.|Instructional content for this group of programs is defined in codes 16.0101 - 16.0199.||Liberal Arts|NULL|2010-01-01 00:00:00.000|NULL|N
16|160101|Foreign Languages and Literatures, General.|A general program that focuses on one or more modern foreign languages that is not specific as to the name of the language(s) studied; that is otherwise undifferentiated; or that introduces students to language studies at the basic/elementary level.|30.4001 - Economics and Foreign Language/Literature., 30.4501 - History and Language/Literature.|Liberal Arts|NULL|2010-01-01 00:00:00.000|NULL|N
16|160102|Linguistics.|A program that focuses on language, language development, and relationships among languages and language groups from a humanistic and/or scientific perspective.  Includes instruction in subjects such as psycholinguistics, behavioral linguistics, language acquisition, sociolinguistics, mathematical and computational linguistics, grammatical theory and theoretical linguistics, philosophical linguistics, philology and historical linguistics, comparative linguistics, phonetics, phonemics, dialectology, semantics, functional grammar and linguistics, language typology, lexicography, morphology and syntax, orthography, stylistics, structuralism, rhetoric, and applications to artificial intelligence.|16.1602 - Linguistics of ASL and Other Sign Languages., 30.4801 - Linguistics and Computer Science., 30.4701 - Linguistics and Anthropology.|Liberal Arts|NULL|2010-01-01 00:00:00.000|NULL|N
16|160103|Language Interpretation and Translation.|A program that prepares individuals to be professional interpreters and/or translators of documents and data files, either from English or (Canadian) French into another language or languages or vice versa.  Includes intensive instruction in one or more foreign languages plus instruction in subjects such as single- and multiple-language interpretation, one- or two-way interpretation, simultaneous interpretation, general and literary translation, business translation, technical translation, and other specific applications of linguistic skills.|16.1603 - Sign Language Interpretation and Translation.|Liberal Arts|NULL|2010-01-01 00:00:00.000|NULL|N
16|160104|Comparative Literature.|A program that focuses on two or more literary traditions in the original languages or in translation.  Includes instruction in comparative linguistics; applicable foreign languages; English/French language and literature; literary criticism; and applications to genre, period, national, and textual studies as well as literary forms such as poetry, prose, and drama.|23.1401 - General Literature., 30.2601 - Cultural Studies/Critical Theory and Analysis., 30.3601 - Cultural Studies and Comparative Literature.|Liberal Arts|NULL|2010-01-01 00:00:00.000|NULL|N
16|160105|Applied Linguistics.|A program that focuses on language-related concerns in the everyday world, including language education, acquisition of first and additional languages, discourse analysis, language assessment, literacy, and language policy and planning.  Includes instruction in linguistic theory; language teaching and learning; discourse analysis; language and cognition; and language, culture, and identity.||Liberal Arts|NULL|2010-01-01 00:00:00.000|NULL|N
16|160199|Linguistic, Comparative, and Related Language Studies and Services, Other.|Any instructional program in linguistic, comparative, and related language studies and services not listed above.||Liberal Arts|NULL|2010-01-01 00:00:00.000|NULL|N
16|1602|African Languages, Literatures, and Linguistics.|Instructional content is defined in code 16.0201.||Liberal Arts|NULL|2010-01-01 00:00:00.000|NULL|N
16|160201|African Languages, Literatures, and Linguistics.|A program that focuses on one or more of the languages native to the African continent, including, but not limited to, Bantu languages, Nilo-Saharan languages, Niger-Congo languages, Khoisan languages, and the Chadic and Ethiopic languages of the Hamito-Semitic language family. Includes instruction in philology, dialects, and oral and written literatures.||Liberal Arts|NULL|2010-01-01 00:00:00.000|NULL|N
16|1603|East Asian Languages, Literatures, and Linguistics.|Instructional content for this group of programs is defined in codes 16.0300 - 16.0399.||Liberal Arts|NULL|2010-01-01 00:00:00.000|NULL|N
16|160300|East Asian Languages, Literatures, and Linguistics, General.|A general program that focuses on one or more of the languages of East Asia, including, but not limited to, the Sino-Tibetan, Japanese, and Korean languages. Includes instruction in philology; linguistics; dialects and pidgins; literature; and applications to business, science/technology, and other settings.||Liberal Arts|NULL|2010-01-01 00:00:00.000|NULL|N
16|160301|Chinese Language and Literature.|A program that focuses on the languages of China and associated dialects and literature. Includes instruction in philology; linguistics; dialects and pidgins; and applications to business, science/technology, and other settings.||Liberal Arts|NULL|2010-01-01 00:00:00.000|NULL|N
16|160302|Japanese Language and Literature.|A program that focuses on the Japanese language. Includes instruction in philology; Ancient, Medieval, and Modern Japanese; dialects; and applications to business, science/technology, and other settings.||Liberal Arts|NULL|2010-01-01 00:00:00.000|NULL|N
16|160303|Korean Language and Literature.|A program that focuses on the Korean language. Includes instruction in philology; dialects; and applications to business, science/technology, and other settings.||Liberal Arts|NULL|2010-01-01 00:00:00.000|NULL|N
16|160304|Tibetan Language and Literature.|A program that focuses on the Tibetan language. Includes instruction in philology; secular and religious Tibetan; dialects; and applications to business, science/technology, Buddhist studies, and other settings.||Liberal Arts|NULL|2010-01-01 00:00:00.000|NULL|N
16|160399|East Asian Languages, Literatures, and Linguistics, Other.|Any instructional program in East Asian languages, literatures, and linguistics not listed above.||Liberal Arts|NULL|2010-01-01 00:00:00.000|NULL|N
16|1604|Slavic, Baltic and Albanian Languages, Literatures, and Linguistics.|Instructional content for this group of programs is defined in codes 16.0400 - 16.0499.||Liberal Arts|NULL|2010-01-01 00:00:00.000|NULL|N
16|160400|Slavic Languages, Literatures, and Linguistics, General.|A general program that focuses on one or more of the Slavic languages of Central and Eastern Europe.  Includes instruction in philology; linguistics; dialects and pidgins; literature; and applications to business, science/technology, and other settings.||Liberal Arts|NULL|2010-01-01 00:00:00.000|NULL|N
16|160401|Baltic Languages, Literatures, and Linguistics.|A program that focuses on the languages of the Baltic peoples, including, but not limited to, the modern languages of Latvian and Lithuanian, and extinct languages such as Old Prussian and Curionian. Includes instruction in philology; literature; and applications to business, science/technology, and other settings.||Liberal Arts|NULL|2010-01-01 00:00:00.000|NULL|N
16|160402|Russian Language and Literature.|A program that focuses on the Russian language. Includes instruction in philology; dialects; literature; and applications to business, science/technology, and other settings.||Liberal Arts|NULL|2010-01-01 00:00:00.000|NULL|N
16|160404|Albanian Language and Literature.|A program that focuses on the Albanian language. Includes instruction in Albanian/Illyrian philology; Ghegg and Tosk dialects; and applications to business, science/technology, and other settings.||Liberal Arts|NULL|2010-01-01 00:00:00.000|NULL|N
16|160405|Bulgarian Language and Literature.|A program that focuses on the Bulgarian language.  Includes instruction in philology; literature; and applications to business, science/technology, and other settings.||Liberal Arts|NULL|2010-01-01 00:00:00.000|NULL|N
16|160406|Czech Language and Literature.|A program that focuses on the Czech language.  Includes instruction in philology; literature; and applications to business, science/technology, and other settings.||Liberal Arts|NULL|2010-01-01 00:00:00.000|NULL|N
16|160407|Polish Language and Literature.|A program that focuses on the Polish language.  Includes instruction in philology; dialects; literature; and applications to business, science/technology, and other settings.||Liberal Arts|NULL|2010-01-01 00:00:00.000|NULL|N
16|160408|Bosnian, Serbian, and Croatian Languages and Literatures.|A program that focuses on the Bosnian, Serbian and/or Croatian languages. Includes instruction in philology; dialects; and applications to business, science/technology, and other settings.||Liberal Arts|NULL|2010-01-01 00:00:00.000|NULL|N
16|160409|Slovak Language and Literature.|A program that focuses on the Slovak language.  Includes instruction in philology; dialects; literature; and applications to business, science/technology, and other settings.||Liberal Arts|NULL|2010-01-01 00:00:00.000|NULL|N
16|160410|Ukrainian Language and Literature.|A program that focuses on the Ukrainian language.  Includes instruction in philology; dialects; literature; and applications to business, science/technology, and other settings.||Liberal Arts|NULL|2010-01-01 00:00:00.000|NULL|N
16|160499|Slavic, Baltic, and Albanian Languages, Literatures, and Linguistics, Other.|A program that focuses on Slavic languages, literatures, and linguistics not listed above.||Liberal Arts|NULL|2010-01-01 00:00:00.000|NULL|N
16|1605|Germanic Languages, Literatures, and Linguistics.|Instructional content for this group of programs is defined in codes 16.0500 - 16.0599.||Liberal Arts|NULL|2010-01-01 00:00:00.000|NULL|N
16|160500|Germanic Languages, Literatures, and Linguistics, General.|A general program that focuses on one or more of the Germanic languages of Western, Central, and Northern Europe.  Includes instruction in philology; linguistics; dialects and pidgins; literature; and applications to business, science/technology, and other settings.||Liberal Arts|NULL|2010-01-01 00:00:00.000|NULL|N
16|160501|German Language and Literature.|A program that focuses on the German language and related dialects. Includes instruction in philology; dialects; and applications to business, science/technology, and other settings.||Liberal Arts|NULL|2010-01-01 00:00:00.000|NULL|N
16|160502|Scandinavian Languages, Literatures, and Linguistics.|A program that focuses on one or more of the languages, literatures, and linguistics of the peoples of Scandinavia and associated Northern European island groups.  Programs may involve multiple languages and language families, not be specific as to the name of the language(s) studied, or be otherwise undifferentiated.||Liberal Arts|NULL|2010-01-01 00:00:00.000|NULL|N
16|160503|Danish Language and Literature.|A program that focuses on the Danish language and related dialects. Includes instruction in philology; literature; and applications to business, science/technology, and other settings.||Liberal Arts|NULL|2010-01-01 00:00:00.000|NULL|N
16|160504|Dutch/Flemish Language and Literature.|A program that focuses on the Dutch language and related dialects. Includes instruction in philology; literature; Dutch Creoles; and applications to business, science/technology, and other settings.||Liberal Arts|NULL|2010-01-01 00:00:00.000|NULL|N
16|160505|Norwegian Language and Literature.|A program that focuses on the Norwegian language and related dialects. Includes instruction in philology; dialects; literature; and applications to business, science/technology, and other settings.||Liberal Arts|NULL|2010-01-01 00:00:00.000|NULL|N
16|160506|Swedish Language and Literature.|A program that focuses on the Swedish language and related dialects. Includes instruction in philology; literature; and applications to business, science/technology, and other settings.||Liberal Arts|NULL|2010-01-01 00:00:00.000|NULL|N
16|160599|Germanic Languages, Literatures, and Linguistics, Other.|Any instructional program in Germanic languages, literatures, and linguistics not listed above.||Liberal Arts|NULL|2010-01-01 00:00:00.000|NULL|N
16|1606|Modern Greek Language and Literature.|Instructional content is defined in code 16.0601.||Liberal Arts|NULL|2010-01-01 00:00:00.000|NULL|N
16|160601|Modern Greek Language and Literature.|A program that focuses on the development and use of the Greek language in the period dating from the late 15th century to the present.  Includes instruction in modern Greek literature, current Greek dialects, and applications to business, science/technology, and other settings.||Liberal Arts|NULL|2010-01-01 00:00:00.000|NULL|N
16|1607|South Asian Languages, Literatures, and Linguistics.|Instructional content for this group of programs is defined in codes 16.0700 - 16.0799.||Liberal Arts|NULL|2010-01-01 00:00:00.000|NULL|N
16|160700|South Asian Languages, Literatures, and Linguistics, General.|A general program that focuses on one or more of the languages, literatures, and linguistics of the peoples of the Indian subcontinent and associated borderlands and island groups.||Liberal Arts|NULL|2010-01-01 00:00:00.000|NULL|N
16|160701|Hindi Language and Literature.|A program that focuses on the Hindi language, antecessors, and related dialects. Includes instruction in philology; Modern Hindi; Hindustani; related dialects; and applications in business, science/technology, and other settings.||Liberal Arts|NULL|2010-01-01 00:00:00.000|NULL|N
16|160702|Sanskrit and Classical Indian Languages, Literatures, and Linguistics.|A program that focuses on Sanskrit and related ancient and classical Indo-Aryan languages.  Includes instruction in Vedic and Classical Sanskrit, Pali and other Prakrits, and the historical development of Indo-Aryan languages and their relation to Indo-European languages such as Greek, Latin and the Baltic languages.||Liberal Arts|NULL|2010-01-01 00:00:00.000|NULL|N
16|160704|Bengali Language and Literature.|A program that focuses on the Bengali language (Bangla) and related dialects. Includes instruction in philology; dialects; and applications in business, science/technology, and other settings.||Liberal Arts|NULL|2010-01-01 00:00:00.000|NULL|N
16|160705|Punjabi Language and Literature.|A program that focuses on the Punjabi language (Punjabi) and related dialects. Includes instruction in philology; dialects; and applications in business, science/technology, and other settings.||Liberal Arts|NULL|2010-01-01 00:00:00.000|NULL|N
16|160706|Tamil Language and Literature.|A program that focuses on the Tamil language and related dialects. Includes instruction in philology; Classical and Modern Tamil; dialects; and applications in business, science/technology, and other settings.||Liberal Arts|NULL|2010-01-01 00:00:00.000|NULL|N
16|160707|Urdu Language and Literature.|A program that focuses on the Urdu language and related dialects. Includes instruction in philology; Modern Urdu; dialects; and applications in business, science/technology, and other settings.||Liberal Arts|NULL|2010-01-01 00:00:00.000|NULL|N
16|160799|South Asian Languages, Literatures, and Linguistics, Other.|Any instructional program in South Asian languages, literatures, and linguistics not listed above.||Liberal Arts|NULL|2010-01-01 00:00:00.000|NULL|N
16|1608|Iranian/Persian Languages, Literatures, and Linguistics.|Instructional content is defined in code 16.0801.||Liberal Arts|NULL|2010-01-01 00:00:00.000|NULL|N
